album_name,album_artist,url_links,genre,tlmc_path,internal album_id
10 MADE TO BE!!,東部開拓地,http://blog.livedoor.jp/th_frontier_ibiza/archives/51880282.html,Misc Electronic，Jpop,[東部開拓地]/2012.12.30 [TKCD-0009] 10 MADE TO BE!! [C83],65
100 Sighs,situation report,"https://twitter.com/mokemoke_p/status/1558115435077181440, https://twitter.com/mokemoke_p/status/1559514934072860672",Metal,[situation report]/2022.08.14 100 Sighs [C100],66
100%,the blankets,,Rock,[the blankets]/2010.10.11 [BLKT-0003] 100% [東方紅楼夢6],67
100万人の並行秘封,豚乙女,,Jpop，Rock,[豚乙女]/2021.12.31 100万人の並行秘封 [C99],70
100円しりある#1,Silly Walker,http://www.sillywalker.info/,,[Silly Walker]/2006.11.12 100円しりある＃1 [東方紅楼夢2],71
100％東方カーニバル,Cis-Trance,http://technetium.jp/,,[Cis-Trance]/2006.05.21 [THCV-0001] 100％東方カーニバル [例大祭3],72
109”,Siestail,http://siestail.blog.shinobi.jp/Entry/17/,,[SiesTail]/2009.07.05 [STCD-0006] 109” [東方神居祭],73
10DESIREz,Echoez,http://echoez.jp/?p=93,,[Echoez]/2013.05.26 [ECHZ-0002] 10DESIREz [例大祭10],74
10th Anniversary Bad Apple!! feat.nomico,Alstroemeria Records,http://alst.net/2017/05/03/arcd0056-10th-anniversary-bad-apple/,House，Trance，Misc Electronic，Hardcore，Dance,[Alstroemeria Records]/2017.05.07 [ARCD-0056] 10th Anniversary Bad Apple!! [例大祭14],75
10th Anniversary Bad Apple!! feat.nomico PHASE2,Alstroemeria Records,http://alst.net/2017/12/21/arcd0060/,House，Trance，Dance，Misc Electronic，Classic，Jpop，Rock，Eurobeat,[Alstroemeria Records]/2017.05.07 [ARCD-0056] 10th Anniversary Bad Apple!! [例大祭14],76
10月26日、妖怪の山。,Mentaiko Lab,http://mentaikolab.webcrow.jp/event/c96.html,,[Mentaiko Lab]/2019.08.12 10月26日、妖怪の山。 [C96],79
10/TENSHI,Komeiji Records,https://wilddakpaks.bandcamp.com/album/10-tenshi,Misc Electronic,[Komeiji Records]/2015.01.27 10／TENSHI,80
11 Goldenweek Omake CD,いえろ～ぜぶら,,,[いえろ～ぜぶら] Yellow Zebra/2011.05.01 [YZEX-0003EX] '11 Goldenweek Omake CD [M3-27],82
11／28 デモCD,天狗ノ舞,,,[天狗ノ舞]/2010.11.28 天狗ノ舞 11／28 デモCD [境界から視えた外界],83
178R いなばらびっつ,Silly Walker,http://www.sillywalker.info/html_dis/052.html,,[Silly Walker]/2006.07.02 [SWCD-0026] 178R いなばらびっつ [東方兎月祭],90
"192,200",＿bazaar records,https://twitter.com/BazaarRecords/status/1317471117167128577,Dance，Rock，Jazz,"[＿bazaar records]/2020.10.25 192,200 [M3-46]",91
